feeding start,feeding finish,sleeping start,sleeping finish,torso monitor detached,torso monitor reattached,ankle monitor detached,ankle monitor reattached,mother monitor detached,mother monitor reattached
2009-02-26 02:55:00,2009-02-26 03:05:00,2009-02-26 00:30:00,2009-02-26 03:25:00,2009-02-27 08:05:00,2009-02-27 08:35:00,,,,
2009-02-26 05:20:00,2009-02-26 05:27:00,2009-02-26 03:30:00,2009-02-26 06:00:00,,,,,,
2009-02-26 07:50:00,2009-02-26 07:57:00,2009-02-26 06:05:00,2009-02-26 08:00:00,,,,,,
2009-02-26 09:30:00,2009-02-26 09:41:00,2009-02-26 10:30:00,2009-02-26 15:00:00,,,,,,
2009-02-26 14:45:00,2009-02-26 14:52:00,2009-02-26 19:00:00,2009-02-26 21:30:00,,,,,,
2009-02-26 16:30:00,2009-02-26 16:42:00,2009-02-26 21:30:00,2009-02-26 21:50:00,,,,,,
2009-02-26 18:40:00,2009-02-26 18:48:00,2009-02-26 23:00:00,2009-02-27 02:30:00,,,,,,
2009-02-26 21:00:00,2009-02-26 21:05:00,2009-02-27 02:35:00,2009-02-27 05:00:00,,,,,,
2009-02-26 21:45:00,2009-02-26 21:50:00,2009-02-27 05:05:00,2009-02-27 06:00:00,,,,,,
2009-02-27 01:55:00,2009-02-27 02:02:00,2009-02-27 06:10:00,2009-02-27 08:00:00,,,,,,
2009-02-27 04:30:00,2009-02-27 04:42:00,2009-02-27 10:00:00,2009-02-27 13:00:00,,,,,,
2009-02-27 05:45:00,2009-02-27 05:55:00,2009-02-27 16:00:00,2009-02-27 16:35:00,,,,,,
2009-02-27 07:50:00,2009-02-27 07:54:00,2009-02-27 18:30:00,2009-02-27 21:30:00,,,,,,
2009-02-27 08:50:00,2009-02-27 08:54:00,,,,,,,,
2009-02-27 12:15:00,2009-02-27 12:23:00,,,,,,,,
2009-02-27 14:00:00,2009-02-27 14:04:00,,,,,,,,
2009-02-27 16:50:00,2009-02-27 17:00:00,,,,,,,,
2009-02-27 21:00:00,2009-02-27 21:10:00,,,,,,,,
2009-02-27 22:50:00,2009-02-27 22:56:00,,,,,,,,
