feeding start,feeding finish,sleeping start,sleeping finish,torso monitor detached,torso monitor reattached,ankle monitor detached,ankle monitor reattached,mother monitor detached,mother monitor reattached
2009-06-26 01:50:00,2009-06-26 01:57:00,2009-06-26 00:00:00,2009-06-26 01:45:00,,,,,2009-06-26 08:00:00,2009-06-26 09:30:00
2009-06-26 04:35:00,2009-06-26 04:45:00,2009-06-26 02:00:00,2009-06-26 04:30:00,,,,,,
2009-06-26 07:13:00,2009-06-26 07:29:00,2009-06-26 04:45:00,2009-06-26 07:00:00,,,,,,
2009-06-26 10:00:00,2009-06-26 10:15:00,2009-06-26 08:25:00,2009-06-26 10:00:00,,,,,,
2009-06-26 11:20:00,2009-06-26 11:25:00,2009-06-26 11:30:00,2009-06-26 12:30:00,,,,,,
2009-06-26 14:20:00,2009-06-26 14:31:00,2009-06-26 15:00:00,2009-06-26 15:30:00,,,,,,
2009-06-26 16:00:00,2009-06-26 16:17:00,2009-06-26 18:00:00,2009-06-26 19:30:00,,,,,,
2009-06-26 16:50:00,2009-06-26 16:55:00,2009-06-26 22:00:00,2009-06-27 02:15:00,,,,,,
2009-06-26 20:05:00,2009-06-26 20:20:00,2009-06-27 02:20:00,2009-06-27 06:45:00,,,,,,
2009-06-26 21:50:00,2009-06-26 22:02:00,2009-06-27 07:00:00,2009-06-27 10:00:00,,,,,,
2009-06-27 02:17:00,2009-06-27 02:26:00,2009-06-27 11:30:00,2009-06-27 12:35:00,,,,,,
2009-06-27 06:40:00,2009-06-27 06:54:00,2009-06-27 15:25:00,2009-06-27 16:30:00,,,,,,
2009-06-27 10:25:00,2009-06-27 10:46:00,2009-06-27 19:30:00,2009-06-27 20:10:00,,,,,,
2009-06-27 12:50:00,2009-06-27 13:05:00,2009-06-27 21:30:00,2009-06-28 04:40:00,,,,,,
2009-06-27 14:30:00,2009-06-27 14:39:00,,,,,,,,
2009-06-27 16:50:00,2009-06-27 17:10:00,,,,,,,,
2009-06-27 19:05:00,2009-06-27 19:15:00,,,,,,,,
2009-06-27 20:30:00,2009-06-27 20:45:00,,,,,,,,
